Name,Style,Brewery,ABV,Min IBU,Max IBU,number_of_reviews
Abbaye Des Rocs Grand Cru Belgian Special Brown,Strong Ale - Belgian Dark,Brasserie de l'Abbaye des Rocs s.a.,1.153846153846154,0.5,0.75,1.5057471264367817
Abbaye Des Rocs [Brasserie Des Rocs Brune],Strong Ale - Belgian Dark,Brasserie de l'Abbaye des Rocs s.a.,1.153846153846154,0.5,0.75,0.7432950191570882
Abbey,Dubbel,New Belgium Brewing,0.3846153846153847,-0.5,-0.25,2.0957854406130267
Abbey Ale,Brown Ale - Belgian Dark,Cathedral Square Brewery,0.19230769230769235,-0.5,-0.5,-0.28735632183908044
Abbey Ale,Dubbel,Abita Brewing Co.,0.7692307692307694,-0.5,-0.25,0.367816091954023
Abbey Ale,Dubbel,Brewery Ommegang,0.846153846153846,-0.5,-0.25,5.567049808429119
Abbey Dubbel,Dubbel,Flying Fish Brewing Company,0.4615384615384617,-0.5,-0.25,-0.3524904214559387
Abbey Triple,Tripel,Sprecher Brewing Company,0.9230769230769234,0.0,0.25,0.3218390804597701
Abbot Ale,Bitter - English Extra Special / Strong Bitter (ESB),Greene King / Morland Brewery,-0.3846153846153847,0.0,0.25,0.9310344827586207
Abner,IPA - New England,Hill Farmstead Brewery,0.846153846153846,3.0,1.75,0.06513409961685823
Abrasive Ale,IPA - Imperial,Surly Brewing Company,1.2307692307692306,4.5,3.25,1.8007662835249043
Abraxas,Stout - American Imperial,Perennial Artisan Ales,2.115384615384616,3.0,2.25,-0.3371647509578544
Abt 12,Quadrupel (Quad),Brouwerij St. Bernardus NV,1.5384615384615388,0.5,0.75,8.137931034482758
Achel Trappist Extra,Strong Ale - Belgian Dark,Brouwerij der St. Benedictusabdij de Achelse,1.3461538461538463,0.5,0.75,0.3065134099616858
Ad Astra Ale,Altbier,Free State Brewing Co.,-0.153846153846154,0.5,0.75,-0.19540229885057472
Adam,Old Ale,Hair of the Dog Brewing Company / Brewery and Tasting Room,1.5384615384615388,1.0,1.5,2.7586206896551726
Adam From The Wood,Old Ale,Hair of the Dog Brewing Company / Brewery and Tasting Room,2.307692307692308,1.0,1.5,-0.12643678160919541
Adelscott,Smoked Beer,Brasserie Fischer / Fischer Biere d' Alsace,0.153846153846154,0.0,-0.25,-0.21839080459770116
Adnams Bitter,Bitter - English,"Adnams plc, Sole Bay Brewery",-0.7307692307692311,0.0,0.0,-0.18773946360153257
Adnams Broadside,Strong Ale - English,"Adnams plc, Sole Bay Brewery",0.11538461538461534,2.0,1.25,0.007662835249042145
Adnams SSB (Suffolk Special Bitter),Bitter - English Extra Special / Strong Bitter (ESB),"Adnams plc, Sole Bay Brewery",-0.576923076923077,0.0,0.25,0.18007662835249041
